mc,counts,ion,charge,ion2,charge2
1.0,6798269,H,1.0,,
2.0,27032,HH,1.0,,
3.0,6580381,Li,2.0,HHH,1.0
3.5,82337395,Li,2.0,,
6.0,12338241,Li,1.0,C,2.0
6.5,28000,C,2.0,,
7.0,124566630,Li,1.0,N,2.0
7.5,6726,N,2.0,,
8.0,82731122,O,2.0,,
9.0,165793,O,2.0,,
10.333333015441895,13377402,P,3.0,,
12.0,1586042,C,1.0,,
13.0,17640,C,1.0,,
14.0,2537884,N,1.0,,
15.0,10192,N,1.0,,
15.5,31850960,P,2.0,,
16.0,183231351,O,1.0,S,2.0
16.5,400897,S,2.0,,
17.0,2870157,S,2.0,HO,1.0
18.0,280272,O,1.0,HHO,1.0
19.0,1533,HO,1.0,,
24.0,3707,CC,1.0,,
25.0,82,CC,1.0,CC,1.0
26.0,3978,NC,1.0,,
27.0,44,NC,1.0,,
28.0,5225,NN,1.0,,
29.0,41,NN,1.0,NN,1.0
31.0,20066105,P,1.0,,
31.5,49591950,Cu,2.0,,
32.0,97347893,S,1.0,OO,1.0
32.5,22072717,Cu,2.0,,
33.0,821941,S,1.0,HOO,1.0
34.0,3636132,S,1.0,OO,1.0
35.0,570,HOO,1.0,HOO,1.0
36.0,93,OO,1.0,CCC,1.0
44.0,60684,COO,1.0,NNO,1.0
45.0,660,COO,1.0,,
46.0,237,COO,1.0,COO,1.0
47.0,3097200,PO,1.0,,
48.0,3108376,OOO,1.0,,
49.0,6206,PO,1.0,,
50.0,18687,OOO,1.0,OOO,1.0
63.0,92546072,Cu,1.0,POO,1.0
65.0,40883228,Cu,1.0,CuHH,1.0
67.0,2219,CuHH,1.0,,
79.0,8930262,CuO,1.0,,
81.0,3992637,CuO,1.0,CuO,1.0
83.0,7965,CuO,1.0,,
