mc,counts,ion,charge,ion2,charge2
1.0,1750049,H,1.0,,
2.0,2831,HH,1.0,,
3.3333332538604736,59223562,B,3.0,,
3.6666667461395264,239885345,B,3.0,,
5.0,98186432,B,2.0,,
5.5,397704674,B,2.0,,
6.0,432051,C,2.0,,
6.5,4805,C,2.0,,
7.0,43314906,N,2.0,,
7.5,173955,N,2.0,,
8.0,1116953,O,2.0,,
9.0,32799268,Al,3.0,O,2.0
10.0,155851479,B,1.0,,
11.0,631277251,B,1.0,,
12.0,43050940,Mg,2.0,C,1.0
12.5,5422442,Mg,2.0,,
13.0,6021890,Mg,2.0,C,1.0
13.5,65594059,Al,2.0,,
14.0,66638317,N,1.0,,
15.0,267623,N,1.0,,
16.0,1745240,O,1.0,,
17.0,1959,HO,1.0,,
18.0,3497,O,1.0,,
24.0,69005075,Mg,1.0,CC,1.0
25.0,8745874,Mg,1.0,,
26.0,9946825,Mg,1.0,BO,1.0
27.0,36294216,Al,1.0,BO,1.0
28.0,3361225,NN,1.0,AlH,1.0
29.0,29895430,Ni,2.0,NN,1.0
30.0,11413418,Ni,2.0,NN,1.0
30.5,481023,Ni,2.0,,
31.0,1574257,Ni,2.0,,
32.0,396150,Ni,2.0,OO,1.0
42.0,743,BOO,1.0,,
43.0,85089,AlO,1.0,BOO,1.0
44.0,9932,NNO,1.0,,
45.0,244,AlO,1.0,NNO,1.0
48.5,52422775,Tc,2.0,,
49.0,52422775,Tc,2.0,,
49.5,52422775,Tc,2.0,,
58.0,22855157,Ni,1.0,Sn,2.0
59.0,10660968,Sn,2.0,NiH,1.0
59.5,3760726,Sn,2.0,,
60.0,20445668,Sn,2.0,Ni,1.0
61.0,2289304,Sn,2.0,Ni,1.0
62.0,3315242,Sn,2.0,Ni,1.0
63.0,1819,NiH,1.0,,
64.0,216460,Ni,1.0,,
65.0,454,NiH,1.0,,
70.0,20407,AlAlO,1.0,NiC,1.0
71.0,111,NiC,1.0,,
72.0,3835,NiC,1.0,AlAlO,1.0
73.0,203,NiC,1.0,NiC,1.0
74.0,30031,NiO,1.0,NiC,1.0
76.0,11465,NiO,1.0,NiC,1.0
77.0,475,NiO,1.0,,
78.0,1577,NiO,1.0,NiO,1.0
80.0,388,NiO,1.0,,
90.0,161,NiOO,1.0,,
92.0,61,NiOO,1.0,,
97.0,87371287,Tc,1.0,,
98.0,87371287,Tc,1.0,,
99.0,87371287,Tc,1.0,,
106.0,568481,Cd,1.0,,
110.0,5466171,Cd,1.0,,
111.0,5597359,Cd,1.0,,
112.0,10538778,Cd,1.0,,
113.0,5334983,Cd,1.0,,
114.0,12550329,Cd,1.0,,
116.0,7265198,Sn,1.0,Cd,1.0
118.0,6588267,Sn,1.0,,
119.0,2331650,Sn,1.0,,
120.0,8784356,Sn,1.0,,
122.0,1247161,Sn,1.0,,
124.0,1518283,Sn,1.0,,
132.0,1995,NiNiO,1.0,,
134.0,1524,NiNiO,1.0,NiNiO,1.0
135.0,64,NiNiO,1.0,NiNiO,1.0
136.0,501,NiNiO,1.0,NiNiO,1.0
138.0,132,NiNiO,1.0,NiNiO,1.0
141.0,131188119,Pr,1.0,,
144.0,1355610,Sm,1.0,,
147.0,6559405,Sm,1.0,,
148.0,4941419,Sm,1.0,,
149.0,6034653,Sm,1.0,,
150.0,3235973,Sm,1.0,,
152.0,11238448,Sm,1.0,,
154.0,9926568,Sm,1.0,,
159.0,524752476,Tb,1.0,,
