mc,counts,ion,charge,ion2,charge2
1.0,3465784,H,1.0,,
2.0,9971,HH,1.0,,
3.0,1235995,Li,2.0,HHH,1.0
3.5,15465757,Li,2.0,,
6.0,3428882,Li,1.0,C,2.0
6.5,15226,C,2.0,,
7.0,26438698,Li,1.0,N,2.0
7.5,2660,N,2.0,,
8.0,65530681,O,2.0,,
9.0,131324,O,2.0,,
12.0,10661925,Mg,2.0,C,1.0
12.5,1236803,Mg,2.0,,
13.0,1382901,Mg,2.0,C,1.0
14.0,1035058,N,1.0,,
15.0,4156,N,1.0,,
15.333333015441895,831372,Ti,3.0,,
15.666666984558105,758627,Ti,3.0,,
16.0,155066233,O,1.0,S,2.0
16.33333396911621,571568,Ti,3.0,,
16.5,289792,S,2.0,,
16.66666603088379,561176,Ti,3.0,,
17.0,1757836,S,2.0,HO,1.0
18.0,228111,O,1.0,HHO,1.0
19.0,21878698,F,1.0,HO,1.0
23.0,2375350,Ti,2.0,,
23.5,2167506,Ti,2.0,,
24.0,36478552,Ti,2.0,Mg,1.0
24.5,1633053,Ti,2.0,,
25.0,3488307,Mg,1.0,Ti,2.0
25.5,12964216,V,2.0,,
26.0,2050075,Mg,1.0,NC,1.0
28.0,667,NN,1.0,,
29.5,32817336,Co,2.0,,
30.66666603088379,1076627,Mo,3.0,,
31.33333396911621,676529,Mo,3.0,,
31.66666603088379,1156646,Mo,3.0,,
32.0,67263649,S,1.0,OO,1.0
32.33333206176758,698352,Mo,3.0,,
32.66666793823242,1753156,Mo,3.0,,
33.0,549095,S,1.0,HOO,1.0
33.33333206176758,698352,Mo,3.0,,
34.0,2533112,S,1.0,OO,1.0
35.0,296,HOO,1.0,HOO,1.0
36.0,38,OO,1.0,,
44.0,30047,COO,1.0,NNO,1.0
45.0,332,COO,1.0,,
46.0,3347878,Mo,2.0,Ti,1.0
47.0,2514650,Ti,1.0,Mo,2.0
47.5,2065441,Mo,2.0,,
48.0,17119530,Ti,1.0,Mo,2.0
48.5,41389879,Tc,2.0,Mo,2.0
49.0,44309173,Tc,2.0,Mo,2.0
49.5,40142821,Tc,2.0,,
50.0,2249375,Mo,2.0,Ti,1.0
51.0,8430828,V,1.0,TiH,1.0
58.0,118470,Hf,3.0,,
58.5,4481098,Sb,2.0,,
58.66666793823242,3080235,Hf,3.0,,
59.0,30051819,Co,1.0,Hf,3.0
59.33333206176758,16052764,Hf,3.0,,
59.66666793823242,8115234,Hf,3.0,,
60.0,20852540,Hf,3.0,TiN,1.0
60.5,33346350,Sb,2.0,,
61.0,1566,TiN,1.0,,
61.5,24849724,Sb,2.0,,
62.0,233573,TiO,1.0,TiN,1.0
63.0,199930,TiO,1.0,TiN,1.0
64.0,2010240,TiO,1.0,TiN,1.0
65.0,150093,TiO,1.0,TiO,1.0
66.0,150999,TiO,1.0,TiO,1.0
66.5,20264706,Cs,2.0,,
67.0,299,TiO,1.0,,
68.0,294,TiO,1.0,,
75.0,3358036,CoO,1.0,,
77.0,6729,CoO,1.0,,
78.0,38860,TiOO,1.0,,
79.0,35460,TiOO,1.0,,
80.0,358646,TiOO,1.0,TiOO,1.0
