mc,counts,ion,charge,ion2,charge2
1.0,8337499,H,1.0,,
2.0,60332,HH,1.0,,
3.0,784,HHH,1.0,,
6.0,4116712,C,2.0,,
6.5,45787,C,2.0,,
7.0,2788800,N,2.0,,
7.5,11199,N,2.0,,
8.0,7360249,O,2.0,,
9.0,14749,O,2.0,,
12.0,2758197,C,1.0,,
13.0,30677,C,1.0,,
14.0,4979999,N,1.0,,
15.0,19999,N,1.0,,
16.0,12475000,O,1.0,,
17.0,84385,HO,1.0,,
18.0,26420,O,1.0,HHO,1.0
19.0,169,HO,1.0,,
24.0,13749,CC,1.0,,
25.0,305,CC,1.0,CC,1.0
26.0,12378,NC,1.0,,
27.0,187,NC,1.0,NC,1.0
28.0,18717,NN,1.0,,
29.0,150,NN,1.0,NN,1.0
32.0,93962,OO,1.0,,
33.0,1940,HOO,1.0,,
34.0,405,OO,1.0,OO,1.0
36.0,121,CCC,1.0,,
44.0,1558,COO,1.0,NNO,1.0
48.0,2419,OOO,1.0,,
58.0,18375000,Sn,2.0,,
59.0,30375000,Sn,2.0,,
59.5,10750000,Sn,2.0,,
60.0,40499998,Sn,2.0,,
61.0,5750000,Sn,2.0,,
62.0,7000000,Sn,2.0,,
96.0,1000000,Pt,2.0,,
97.0,41125000,Pt,2.0,,
97.5,42249999,Pt,2.0,,
98.0,31624999,Pt,2.0,,
99.0,9000000,Pt,2.0,,
102.0,781666,Pb,2.0,,
103.0,13455833,Pb,2.0,,
103.5,12339167,Pb,2.0,,
104.0,29256667,Pb,2.0,,
107.0,43166667,Ag,1.0,,
109.0,40166667,Ag,1.0,,
116.0,10841250,Sn,1.0,,
118.0,17921249,Sn,1.0,,
119.0,6342499,Sn,1.0,,
120.0,23894997,Sn,1.0,,
122.0,3392499,Sn,1.0,,
124.0,4129999,Sn,1.0,,
162.0,83333,Er,1.0,,
164.0,1333333,Er,1.0,,
166.0,28000000,Er,1.0,,
167.0,19166667,Er,1.0,,
168.0,22333333,Er,1.0,,
170.0,12416666,Er,1.0,,
192.0,540000,Pt,1.0,,
194.0,22207500,Pt,1.0,,
195.0,22815000,Pt,1.0,,
196.0,17077501,Pt,1.0,,
198.0,4860000,Pt,1.0,,
204.0,1166666,Pb,1.0,,
206.0,20083333,Pb,1.0,,
207.0,18416666,Pb,1.0,,
208.0,43666666,Pb,1.0,,
220.0,13455,PbO,1.0,,
222.0,231657,PbO,1.0,PbO,1.0
223.0,212408,PbO,1.0,,
224.0,504093,PbO,1.0,PbO,1.0
225.0,425,PbO,1.0,,
226.0,1009,PbO,1.0,,
