mc,counts,ion,charge,ion2,charge2
1.0,17220726,H,1.0,,
1.98,187949,HH,1.0,,
3.0,4255,HHH,1.0,,
5.98,6377160,C,2.0,,
6.48,70925,C,2.0,,
7.0,11764563,N,2.0,,
7.48,47248,N,2.0,,
7.99,257020072,O,2.0,,
9.02,515071,O,2.0,,
12.02,3953838,C,1.0,,
13.02,43975,C,1.0,,
14.01,217655889,Si,2.0,N,1.0
14.49,10112120,Si,2.0,,
14.98,6669698,Si,2.0,,
15.02,77444,N,1.0,,
16.0,450912409,O,1.0,,
17.01,4374672,HO,1.0,,
18.0,1023003,O,1.0,HHO,1.0
18.98,8768,HO,1.0,,
19.98,236,HHO,1.0,,
24.02,23484,CC,1.0,,
24.98,259,CC,1.0,,
25.01,257,CC,1.0,,
25.98,84881,NC,1.0,,
27.0,1291,NC,1.0,NC,1.0
28.02,117252904,Si,1.0,NN,1.0
28.99,1736,NN,1.0,NN,1.0
29.02,5966148,Si,1.0,,
30.01,3935129,Si,1.0,,
32.02,134593425,OO,1.0,,
33.01,2431012,HOO,1.0,,
33.98,269724,OO,1.0,,
34.02,343852,OO,1.0,HHOO,1.0
35.0,9743,HOO,1.0,HOO,1.0
35.98,734,OO,1.0,CCC,1.0
36.02,289,HHOO,1.0,HHOO,1.0
40.01,694882,SiC,1.0,,
41.01,43155,SiC,1.0,SiC,1.0
41.99,2610216,SiN,1.0,SiC,1.0
42.98,142494,SiN,1.0,SiN,1.0
44.01,45540882,SiO,1.0,NNO,1.0
45.02,3688120,SiO,1.0,SiHO,1.0
45.99,1708306,SiO,1.0,SiO,1.0
46.99,54744,SiHO,1.0,SiO,1.0
47.99,70933064,OOO,1.0,SiO,1.0
48.98,91,SiHO,1.0,,
49.98,142141,OOO,1.0,,
50.02,284278,OOO,1.0,OOO,1.0
52.01,840,OOO,1.0,OOO,1.0
59.99,27203318,SiOO,1.0,,
61.0,1386717,SiOO,1.0,,
62.0,1023673,SiOO,1.0,SiOO,1.0
63.01,5562,SiOO,1.0,SiOO,1.0
64.02,3772,SiOO,1.0,SiOO,1.0
70.0,511859,SiSiN,1.0,,
70.98,26096,SiSiN,1.0,,
71.02,28141,SiSiN,1.0,SiSiN,1.0
72.01,35940,SiSiN,1.0,SiSiN,1.0
73.01,1901,SiSiN,1.0,SiSiN,1.0
74.01,587,SiSiN,1.0,,
104.02,6530585,SiSiOOO,1.0,,
104.98,332906,SiSiOOO,1.0,,
105.01,332910,SiSiOOO,1.0,,
106.02,495359,SiSiOOO,1.0,SiSiOOO,1.0
106.99,26379,SiSiOOO,1.0,SiSiOOO,1.0
107.99,10205,SiSiOOO,1.0,SiSiOOO,1.0
108.98,82,SiSiOOO,1.0,SiSiOOO,1.0
109.02,50,SiSiOOO,1.0,SiSiOOO,1.0
136.01,2233194,SiSiOOOOO,1.0,,
137.0,227683,SiSiOOOOO,1.0,SiSiOOOOO,1.0
137.99,98796,SiSiOOOOO,1.0,SiSiOOOOO,1.0
138.02,79558,SiSiOOOOO,1.0,SiSiOOOOO,1.0
139.02,9969,SiSiOOOOO,1.0,SiSiOOOOO,1.0
140.0,4026,SiSiOOOOO,1.0,SiSiOOOOO,1.0
