mc,counts,ion,charge,ion2,charge2
1.01,63164890,H,1.0,,
2.0,2360164,HH,1.0,,
3.01,224980,HHH,1.0,,
6.02,3007457,C,2.0,,
6.48,33436,C,2.0,,
7.01,3547161,N,2.0,,
7.51,14245,N,2.0,,
7.98,144339414,O,2.0,,
8.99,289264,O,2.0,,
12.02,32576174,Mg,2.0,C,1.0
12.5,3881026,Mg,2.0,,
12.99,4329692,Mg,2.0,C,1.0
14.02,6821471,N,1.0,,
15.02,27389,N,1.0,,
15.99,253227009,O,1.0,,
16.99,8110165,HO,1.0,,
17.99,2799692,Fe,3.0,HHO,1.0
18.66666603088379,21981452,Fe,3.0,,
18.98,543622,Fe,3.0,HO,1.0
19.343333969116213,71918,Fe,3.0,,
20.02,1803,HHO,1.0,,
24.01,60046128,Mg,1.0,CC,1.0
25.02,7609949,Mg,1.0,CC,1.0
26.01,8461100,Mg,1.0,NC,1.0
26.99,3310449,Fe,2.0,NC,1.0
27.02,67,NC,1.0,,
28.01,52357129,Fe,2.0,NN,1.0
28.52,1255616,Fe,2.0,,
29.02,171394,Fe,2.0,NN,1.0
31.5,14443949,Cu,2.0,,
31.98,35222998,OO,1.0,,
32.52,6428814,Cu,2.0,,
32.98,4017444,HOO,1.0,,
33.99,448555,HHOO,1.0,OO,1.0
34.98,8052,HOO,1.0,,
35.02,8049,HOO,1.0,,
36.02,1367,HHOO,1.0,HHOO,1.0
44.0,9820,NNO,1.0,,
44.98,47,NNO,1.0,,
45.02,40,NNO,1.0,,
47.99,10629860,OOO,1.0,,
49.98,42596,OOO,1.0,OOO,1.0
50.02,21305,OOO,1.0,,
51.98,126,OOO,1.0,OOO,1.0
54.01,2019277,Fe,1.0,,
56.01,31925458,Fe,1.0,,
57.01,765934,Fe,1.0,,
57.98,104447,Fe,1.0,,
62.99,22568670,Cu,1.0,,
64.98,10123617,Cu,1.0,CuHH,1.0
67.01,34987,CuHH,1.0,,
79.02,3461203,CuO,1.0,,
80.99,1547470,CuO,1.0,CuO,1.0
83.01,3093,CuO,1.0,,
143.98,4718117,Sm,1.0,,
146.98,22829578,Sm,1.0,,
148.0,17198286,Sm,1.0,,
149.01,21003221,Sm,1.0,,
149.98,11262595,Sm,1.0,,
152.0,39114687,Sm,1.0,,
153.98,34548764,Sm,1.0,,
169.01,65227383,Tm,1.0,,
