mc,counts,ion,charge,ion2,charge2
1.02,16224312,H,1.0,,
1.98,224232,H2,1.0,,
3.0,5441,H3,1.0,,
6.02,6408715,C,2.0,,
6.47,71281,C,2.0,,
7.03,6492856,N,2.0,,
7.47,24503,N,2.0,,
8.01,253857812,O,2.0,,
9.05,500527,O,2.0,,
10.96,767358,CO2,4.0,N2O,4.0
11.27,8088,CO2,4.0,N2O,4.0
11.47,2647,CO2,4.0,CO2,4.0
11.95,3332535,C,1.0,,
11.99,36251796,OOO,4.0,,
12.47,128772,OOO,4.0,OOO,4.0
12.55,67702,OOO,4.0,,
12.96,157,OOO,4.0,,
13.04,45830,C,1.0,OOO,4.0
13.97,10058536,N,1.0,HMn,4.0
14.676666666666666,730025,CO2,3.0,N2O,3.0
14.95,88,N2O,3.0,,
15.01,48132,N,1.0,CO2,3.0
15.05,90,N2O,3.0,,
15.303333333333335,1649,CO2,3.0,N2O,3.0
15.383333333333335,1206,CO2,3.0,,
15.96,441580395,O,1.0,OOO,3.0
16.62666666666667,156856,OOO,3.0,OOO,3.0
16.71666666666667,62719,OOO,3.0,,
16.98,5043792,HO,1.0,,
17.293333333333333,165,OOO,3.0,,
17.333333333333332,121,OOO,3.0,,
17.383333333333333,102,OOO,3.0,,
17.79,11206334,MnO,4.0,,
17.98,173730,H2O,1.0,,
18.04,820762,O,1.0,C3,2.0
18.23,36224,MnO,4.0,,
18.71666666666667,389359,HMn,3.0,,
19.04,13770,HO,1.0,H3O,1.0
20.01,17483,C2O,2.0,H2O,1.0
20.48,324,C2O,2.0,C2O,2.0
20.95,38,C2O,2.0,,
21.8,5375688,MnO2,4.0,,
21.95,279774,HMnO2,4.0,N2O,2.0
22.03,1027977,CO2,2.0,,
22.25,13558,MnO2,4.0,,
22.28,12150,MnO2,4.0,,
22.48,89,N2O,2.0,,
22.53,12648,CO2,2.0,HMnO2,4.0
22.78,23,MnO2,4.0,,
22.98,3695,CO2,2.0,CO2,2.0
23.02,62,N2O,2.0,,
23.45,32,CO2,2.0,,
23.5,12,CO2,2.0,,
23.666666666666668,17351752,MnO,3.0,,
23.97,38021,C2,1.0,,
24.0,51906015,OOO,2.0,,
24.333333333333332,36215,MnO,3.0,,
25.02,268315,OOO,2.0,OOO,2.0
25.76,5522399,MnO3,4.0,,
25.97,184,OOO,2.0,,
26.0,212395,HMnO3,4.0,OOO,2.0
26.03,42761,CN,1.0,OOO,2.0
26.25,25713,MnO3,4.0,MnO3,4.0
26.3,16419,MnO3,4.0,,
26.46,354,HMnO3,4.0,,
26.55,627,HMnO3,4.0,HMnO3,4.0
26.74,23,MnO3,4.0,,
26.77,47,MnO3,4.0,MnO3,4.0
26.95,163,CN,1.0,,
26.98,466,CN,1.0,,
27.48,97297283,Mn,2.0,,
28.04,655741,HMn,2.0,N2,1.0
28.95,221,N2,1.0,,
29.05,8150502,MnO2,3.0,N2,1.0
29.35333333333333,181518,HMnO2,3.0,,
29.656666666666666,12164,MnO2,3.0,,
29.686666666666667,16325,MnO2,3.0,,
29.75,4759732,MnO4,4.0,,
29.99,398,HMnO2,3.0,,
30.02,131760,HMnO4,4.0,HMnO2,3.0
30.21,11338,MnO4,4.0,,
30.25,17530,MnO4,4.0,MnO4,4.0
30.3,12410,MnO4,4.0,MnO2,3.0
30.45,897,HMnO4,4.0,HMnO4,4.0
30.52,309,HMnO4,4.0,,
30.72,42,MnO4,4.0,MnO4,4.0
30.77,87,MnO4,4.0,MnO4,4.0
32.01,102451422,O2,1.0,,
32.97,3357990,HO2,1.0,,
33.96,89658,HHOO,1.0,,
33.99,410625,O2,1.0,O2,1.0
34.303333333333335,5878667,MnO3,3.0,,
34.67666666666666,235765,HMnO3,3.0,,
34.98,62721,MnO3,3.0,MnO3,3.0
35.38333333333333,1270,HMnO3,3.0,HMnO3,3.0
35.53,18436243,MnO,2.0,,
35.61666666666667,22,MnO3,3.0,,
35.71666666666666,64,MnO3,3.0,MnO3,3.0
35.95,371,C3,1.0,,
36.0,585,O2,1.0,HHOO,1.0
36.04,181,HHOO,1.0,,
36.5,41998,MnO,2.0,,
39.70666666666666,5402934,MnO4,3.0,,
40.04,168957,HMnO4,3.0,C2O,1.0
40.31333333333333,17041,MnO4,3.0,MnO4,3.0
40.35333333333334,23718,MnO4,3.0,MnO4,3.0
40.61666666666667,360,HMnO4,3.0,,
40.67666666666666,696,HMnO4,3.0,HMnO4,3.0
40.71666666666666,364,HMnO4,3.0,,
40.98,659,C2O,1.0,C2O,1.0
42.0,44,C2O,1.0,,
43.49,10751364,MnO2,2.0,,
43.97,257137,HMnO2,2.0,,
44.0,46157,N2O,1.0,,
44.05,1658041,CO2,1.0,,
44.45,37859,MnO2,2.0,MnO2,2.0
45.01,20108,CO2,1.0,HMnO2,2.0
45.45,35,MnO2,2.0,,
45.95,3418,CO2,1.0,N2O,1.0
46.05,3315,CO2,1.0,,
46.99,81,CO2,1.0,CO2,1.0
47.96,82390488,OOO,1.0,,
49.96,495328,OOO,1.0,OOO,1.0
51.53,9085227,MnO3,2.0,,
52.02,269757,HMnO3,2.0,OOO,1.0
52.45,20353,MnO3,2.0,,
52.55,38922,MnO3,2.0,MnO3,2.0
52.97,549,HMnO3,2.0,,
53.0,607,HMnO3,2.0,,
53.03,473,HMnO3,2.0,,
53.45,122,MnO3,2.0,MnO3,2.0
54.95,63243245,Mn,1.0,,
56.01,1081612,HMn,1.0,,
59.47,8490341,MnO4,2.0,,
59.99,193264,HMnO4,2.0,,
60.52,54919,MnO4,2.0,MnO4,2.0
60.99,1360,HMnO4,2.0,HMnO4,2.0
61.05,384,HMnO4,2.0,,
61.47,27,MnO4,2.0,MnO4,2.0
61.53,119,MnO4,2.0,MnO4,2.0
71.04,36149463,MnO,1.0,,
73.04,72433,MnO,1.0,,
87.0,17340928,MnO2,1.0,,
87.95,504209,HMnO2,1.0,,
89.02,69490,MnO2,1.0,MnO2,1.0
89.98,2027,HMnO2,1.0,HMnO2,1.0
90.95,63,MnO2,1.0,,
