mc,counts,ion,charge,ion2,charge2
1.01,5515582,H,1.0,,
2.02,13432,H2,1.0,,
2.97,81,H3,1.0,,
5.96,5446717,C,2.0,,
6.5,60568,C,2.0,,
6.97,4612253,N,2.0,,
7.5,20835,N,2.0,,
8.02,7979194,O,2.0,,
8.98,17110,O,2.0,,
10.97,246,CO2,4.0,,
11.03,149,N2O,4.0,,
11.97,697,OOO,4.0,,
12.01,3594833,C,1.0,,
12.99,30288,C,1.0,,
14.0,8236164,N,1.0,,
14.646666666666667,170,CO2,3.0,,
14.706666666666665,213,N2O,3.0,,
14.98,33085,N,1.0,,
15.99,13757881,O,1.0,OOO,3.0
16.98,40578,HO,1.0,,
17.96,27632,O,1.0,C3,2.0
18.03,246,H2O,1.0,,
18.96,92,HO,1.0,,
19.96,127,C2O,2.0,,
21.98,231,N2O,2.0,,
22.05,315,CO2,2.0,,
23.99,1086,OOO,2.0,,
24.05,13453,C2,1.0,,
24.99,154,C2,1.0,,
25.02,139,C2,1.0,,
25.98,24001,CN,1.0,,
26.98,96,CN,1.0,,
27.02,261,CN,1.0,,
27.97,39440,N2,1.0,,
29.0,148,N2,1.0,,
29.05,156,N2,1.0,,
32.01,103432,O2,1.0,,
32.96,668,HO2,1.0,,
34.03,417,O2,1.0,O2,1.0
36.01,119,C3,1.0,,
37.0,4688651,Se,2.0,,
37.95,40932685,Se,2.0,,
38.53,38336149,Se,2.0,,
39.04,116596157,Se,2.0,,
40.0,246092562,Se,2.0,C2O,1.0
41.0,48970399,Se,2.0,,
44.02,947,CO2,1.0,N2O,1.0
47.97,1694,OOO,1.0,,
74.01,7442318,Se,1.0,,
76.0,74423074,Se,1.0,,
77.05,62846138,Se,1.0,,
77.96,194326918,Se,1.0,,
79.99,410153849,Se,1.0,,
81.97,77730786,Se,1.0,,
