mc,counts,ion,charge,ion2,charge2
0.95,4530568,H,1.0,,
2.03,10841,H2,1.0,,
3.01,80,H3,1.0,,
6.02,118673299,C,2.0,,
6.45,1319919,C,2.0,,
7.01,7983031,N,2.0,,
7.48,27708,N,2.0,,
8.03,80241607,O,2.0,,
8.95,166870,O,2.0,,
10.98,822759,CO2,4.0,,
11.02,7906,N2O,4.0,,
11.21,6756,CO2,4.0,N2O,4.0
11.27,40,N2O,4.0,,
11.48,1143,CO2,4.0,,
11.55,1650,CO2,4.0,,
11.96,890341,OOO,4.0,,
12.03,73577425,C,1.0,,
12.49,5939,OOO,4.0,OOO,4.0
13.05,884360,C,1.0,,
14.02,13530562,N,1.0,,
14.666666666666666,748651,CO2,3.0,N2O,3.0
14.76,6095,HNi,4.0,,
14.97,54345,N,1.0,,
15.04,9032,CO2,3.0,N2O,3.0
15.24,2450,HNi,4.0,,
15.323333333333334,2248,CO2,3.0,CO2,3.0
15.47,121,HNi,4.0,,
15.73,269,HNi,4.0,,
15.95,11399994,S,2.0,,
15.99,726347,OOO,3.0,,
16.04,151399233,O,1.0,,
16.2,74,HNi,4.0,,
16.53,101434,S,2.0,,
16.666666666666668,3572,OOO,3.0,OOO,3.0
16.71666666666667,2029,OOO,3.0,,
16.98,447745,HO,1.0,,
17.01,580085,S,2.0,,
17.48,167208,CNi,4.0,,
17.79,1769,CNi,4.0,,
17.99,641904,C3,2.0,H2O,1.0
18.04,375084,O,1.0,CNi,4.0
18.24,3655,CNi,4.0,CNi,4.0
18.49,318203,NiO,4.0,CNi,4.0
18.74,80,CNi,4.0,,
18.78,1375,HNiO,4.0,,
19.03,112430,NiO,4.0,CNi,4.0
19.27,642,HNiO,4.0,,
19.3,4125,NiO,4.0,,
19.46,38,HNiO,4.0,,
19.5,171,NiO,4.0,,
19.53,16588,NiO,4.0,,
19.62666666666667,5628,HNi,3.0,,
19.71,71,HNiO,4.0,,
19.99,1124710,C2O,2.0,NiO,4.0
20.22,20,HNiO,4.0,,
20.35333333333333,2208,HNi,3.0,,
20.52,47183,C2Ni,4.0,C2O,2.0
20.636666666666667,109,HNi,3.0,,
20.79,313899,O2V,4.0,C2Ni,4.0
20.96,2655,C2O,2.0,C2O,2.0
21.01,10976,C2Ni,4.0,HNi,3.0
21.23,1554,O2V,4.0,O2V,4.0
21.29,175,C2Ni,4.0,C2Ni,4.0
21.46,1335,C2Ni,4.0,,
21.52,63,C2O,2.0,C2O,2.0
21.686666666666667,75,HNi,3.0,,
21.99,1054812,CO2,2.0,N2O,2.0
22.5,70210,NiO2,4.0,CO2,2.0
22.96,22105,NiO2,4.0,,
23.01,2338,CO2,2.0,NiO2,4.0
23.05,2211,CO2,2.0,NiO2,4.0
23.2,1188,NiO2,4.0,,
23.363333333333333,171264,CNi,3.0,,
23.46,59,NiO2,4.0,CO2,2.0
