mc,counts,ion,charge,ion2,charge2
1.0,141075435,H,1.0,,
2.02,8529547,HH,1.0,,
3.05,1081701,HHH,1.0,,
3.98,159916,HHHH,1.0,,
6.03,11736393,C,2.0,,
6.55,130527,C,2.0,,
7.03,5767744,N,2.0,,
7.53,23165,N,2.0,,
7.95,62103577,O,2.0,,
8.97,124463,O,2.0,,
11.97,7511281,C,1.0,,
12.96,574420,CH,1.0,,
13.0,83570,C,1.0,,
13.05,506838,HC,1.0,,
13.96,99712,CHH,1.0,,
14.02,8885507,N,1.0,CH,1.0
14.96,1113,CHH,1.0,,
15.0,1095339,NH,1.0,HN,1.0
16.02,94155873,O,1.0,NHH,1.0
16.96,8765,NHHH,1.0,,
17.0,10294872,OH,1.0,HO,1.0
17.96,773617,HHO,1.0,O,1.0
18.02,779979,OHH,1.0,,
18.96,116045,OHHH,1.0,OH,1.0
19.02,129133,HHHO,1.0,,
20.04,2742,OHH,1.0,HHO,1.0
21.01,274,HHHO,1.0,,
21.05,204,OHHH,1.0,,
24.01,68879,CC,1.0,,
24.98,1538,CC,1.0,CC,1.0
25.04,9310,HCC,1.0,,
25.98,72379,CN,1.0,NC,1.0
26.04,122,HCC,1.0,,
26.95,120,NC,1.0,,
27.02,970,CN,1.0,NC,1.0
27.97,428223,CO,1.0,,
28.01,514290,OC,1.0,NN,1.0
28.99,89770,CHO,1.0,OC,1.0
29.05,5433,HNN,1.0,NN,1.0
29.97,257346,ON,1.0,CHO,1.0
30.05,428503,NO,1.0,CHHO,1.0
31.03,44682,NHO,1.0,NO,1.0
31.96,9153,NHHO,1.0,ON,1.0
32.0,2891314,OO,1.0,NHO,1.0
32.03,830,NO,1.0,,
32.95,611273,OHO,1.0,,
33.0,650416,HOO,1.0,NHO,1.0
33.95,11621,OO,1.0,OO,1.0
34.02,76768,OHHO,1.0,,
34.96,16648,HHHOO,1.0,HOO,1.0
35.99,137,OHHO,1.0,,
36.04,933,CCC,1.0,OHHO,1.0
37.0,18,HHHOO,1.0,,
37.05,128,HCCC,1.0,HHHOO,1.0
37.97,614,NCC,1.0,,
39.96,4723,OCC,1.0,,
40.02,297,CNN,1.0,,
40.96,74,OCC,1.0,,
41.01,52,OCC,1.0,,
41.96,288,NNN,1.0,,
43.97,3701,ONN,1.0,,
44.02,41108,COO,1.0,,
45.0,337,HNNO,1.0,,
45.05,460,COO,1.0,,
45.95,40167,NOO,1.0,COO,1.0
46.01,1135,CHHOO,1.0,COO,1.0
46.98,156,NOO,1.0,,
48.01,356405,OOO,1.0,NHHOO,1.0
49.96,715,OOO,1.0,,
50.02,7897,OHHOO,1.0,OOO,1.0
51.98,69,OCCC,1.0,,
56.05,28,CNNO,1.0,,
57.95,32,NNNO,1.0,,
60.03,295,ONNO,1.0,,
127.01,445454560,I,1.0,,
127.98,23085062,IH,1.0,,
128.98,3692458,IHH,1.0,,
130.02,451804,IHHH,1.0,,
133.03,111363639,Cs,1.0,,
134.03,6733151,CsH,1.0,,
134.97,1015419,CsHH,1.0,,
135.97,152813,CsHHH,1.0,,
138.98,2614029,IC,1.0,,
140.01,29082,IC,1.0,,
141.0,1976370,IN,1.0,,
142.0,7935,IN,1.0,,
143.0,16252989,IO,1.0,,
144.04,3016954,IHO,1.0,,
144.97,426779,CsC,1.0,,
145.04,387110,IHHO,1.0,IO,1.0
145.95,6033,IHO,1.0,,
146.02,4744,CsC,1.0,,
146.98,453758,CsN,1.0,,
147.03,709,IHHO,1.0,,
147.97,1818,CsN,1.0,,
148.97,3849401,CsO,1.0,,
150.0,631099,CsHO,1.0,,
150.95,7714,CsO,1.0,,
151.04,117981,CsHHO,1.0,ICC,1.0
151.97,566,ICC,1.0,ICC,1.0
152.01,1282,CsHO,1.0,,
153.03,195,CsHHO,1.0,,
155.03,11310,INN,1.0,,
155.98,50,INN,1.0,,
156.01,30,INN,1.0,,
157.01,5111,CsCC,1.0,,
158.01,60,CsCC,1.0,,
158.05,56,CsCC,1.0,,
159.04,1437372,IOO,1.0,,
160.96,35425,IHHOO,1.0,CsNN,1.0
161.01,2881,IOO,1.0,,
162.96,431,ICCC,1.0,IHHOO,1.0
164.98,462006,CsOO,1.0,,
166.96,1854,CsOO,1.0,CsOO,1.0
167.05,8298,CsHHOO,1.0,,
169.05,53,CsCCC,1.0,,
171.05,1198,INNO,1.0,,
177.04,394,CsNNO,1.0,,
196.05,334089,Hg,1.0,,
197.05,17311,HgH,1.0,,
198.05,16874999,Hg,1.0,HgHH,1.0
198.97,29272448,Hg,1.0,HgH,1.0
199.98,40059192,Hg,1.0,HgH,1.0
200.05,171323,HgHH,1.0,,
200.97,22069642,Hg,1.0,HgHHH,1.0
201.05,2288109,HgH,1.0,HgHH,1.0
202.0,51180095,Hg,1.0,HgH,1.0
203.01,2794992,HgH,1.0,HgHH,1.0
203.05,44896,HgHHH,1.0,,
204.01,11888540,Hg,1.0,HgHH,1.0
204.96,646371,HgH,1.0,HgHHH,1.0
205.95,115350,HgHH,1.0,,
207.04,13242,HgHHH,1.0,,
208.03,1599,HgC,1.0,,
209.95,1399,HgN,1.0,,
210.05,80821,HgC,1.0,,
210.97,896,HgC,1.0,,
211.01,136025,HgC,1.0,,
211.97,266025,HgC,1.0,HgN,1.0
212.0,1513,HgC,1.0,,
212.97,105892,HgC,1.0,HgN,1.0
213.02,122397,HgN,1.0,HgC,1.0
213.99,951103,HgO,1.0,HgC,1.0
214.95,1030309,HgO,1.0,HgHO,1.0
215.02,94481,HgN,1.0,HgC,1.0
215.95,1259726,HgO,1.0,,
216.04,450021,HgN,1.0,HgHO,1.0
216.97,2673,HgO,1.0,HgN,1.0
217.0,980196,HgO,1.0,HgHO,1.0
217.96,2522,HgO,1.0,,
218.05,1835232,HgO,1.0,HgHO,1.0
218.95,302204,HgHO,1.0,HgHO,1.0
219.03,20999,HgHHO,1.0,HgO,1.0
219.95,370910,HgO,1.0,HgHHO,1.0
220.05,46933,HgHHO,1.0,HgO,1.0
220.95,600,HgHO,1.0,,
220.98,69114,HgHO,1.0,HgHHO,1.0
221.95,1709,HgCC,1.0,HgO,1.0
222.01,9950,HgHHO,1.0,,
222.05,82,HgHHO,1.0,,
222.98,1588,HgCC,1.0,,
223.03,145,HgHO,1.0,,
224.01,2167,HgCC,1.0,,
224.97,25,HgCC,1.0,,
225.0,34,HgCC,1.0,,
225.03,1208,HgCC,1.0,,
226.01,3217,HgCC,1.0,HgNN,1.0
226.98,773,HgNN,1.0,HgCC,1.0
227.03,25,HgCC,1.0,,
227.95,1637,HgNN,1.0,HgCC,1.0
227.98,984,HgOO,1.0,,
228.96,568,HgNN,1.0,,
230.01,51103,HgOO,1.0,HgNN,1.0
230.97,83765,HgOO,1.0,,
231.98,1306,HgHHOO,1.0,HgOO,1.0
232.02,114260,HgOO,1.0,HgNN,1.0
232.95,2224,HgHHOO,1.0,HgOO,1.0
233.02,65218,HgOO,1.0,HgOO,1.0
234.0,149601,HgOO,1.0,HgHHOO,1.0
234.97,259,HgOO,1.0,HgOO,1.0
235.05,1610,HgHHOO,1.0,,
235.99,33519,HgOO,1.0,,
236.03,4213,HgHHOO,1.0,HgOO,1.0
237.95,23,HgCCC,1.0,,
238.04,946,HgHHOO,1.0,HgOO,1.0
241.97,57,HgNNO,1.0,,
243.05,101,HgNNO,1.0,,
244.05,113,HgNNO,1.0,,
244.95,72,HgNNO,1.0,,
245.97,174,HgNNO,1.0,,
248.03,51,HgNNO,1.0,,
