mc,counts,ion,charge,ion2,charge2
1.05,1610012,H,1.0,,
2.0,1064,HH,1.0,,
2.99,2813269,Li,2.0,,
3.53,35203963,Li,2.0,,
5.0,3644213,B,2.0,,
5.47,14760941,B,2.0,,
5.96,211268472,C,2.0,,
5.99,4465520,Li,1.0,,
6.51,2349786,C,2.0,,
6.95,55879317,Li,1.0,,
6.99,77509396,N,2.0,,
7.03,2703,LiH,1.0,,
7.49,311286,N,2.0,,
7.95,33956,LiH,1.0,,
8.0,2923711,O,2.0,,
8.99,78,LiHH,1.0,,
9.04,5850,O,2.0,,
10.0,5974123,B,1.0,,
10.97,24198265,B,1.0,,
11.01,4902,BH,1.0,,
11.95,19864,BH,1.0,,
12.0,139437199,C,1.0,,
12.96,1856304,C,1.0,CH,1.0
13.95,125015174,N,1.0,,
13.98,3624,CH,1.0,HC,1.0
14.97,78026,NH,1.0,,
15.02,596541,N,1.0,HN,1.0
15.99,5623000,O,1.0,HN,1.0
16.04,24460100,S,2.0,NH,1.0
16.5,205963,S,2.0,,
16.97,3982,HO,1.0,,
17.05,1085991,S,2.0,OH,1.0
17.96,346563,LiC,1.0,,
18.01,11283,O,1.0,,
18.97,144831437,F,1.0,LiC,1.0
19.03,4336716,LiC,1.0,,
19.98,378426,LiN,1.0,FH,1.0
20.98,925,LiN,1.0,,
21.01,155,FHH,1.0,,
21.05,2851310,LiN,1.0,,
21.99,21164,LiN,1.0,LiO,1.0
22.04,579557,BC,1.0,,
23.0,2347483,BC,1.0,,
23.05,128265,LiO,1.0,BC,1.0
23.97,353967,BN,1.0,BC,1.0
24.02,18218118,CC,1.0,,
24.97,1531331,BN,1.0,CC,1.0
25.02,227568,CC,1.0,HCC,1.0
26.0,18889827,CN,1.0,NC,1.0
26.97,251937,CN,1.0,BO,1.0
27.05,98923,NC,1.0,,
27.46,60344829,Mn,2.0,,
27.98,509974,CO,1.0,CN,1.0
28.04,5160142,NN,1.0,OC,1.0
28.95,29388,NN,1.0,HNN,1.0
29.01,29050,NN,1.0,CO,1.0
29.98,72709,LiCC,1.0,HNN,1.0
30.02,618679,NO,1.0,ON,1.0
30.95,11839232,FC,1.0,LiCC,1.0
31.05,1989,ON,1.0,LiCC,1.0
31.96,38373351,S,1.0,FC,1.0
32.95,29,OHO,1.0,,
33.0,25127,SH,1.0,HOO,1.0
33.05,6049240,FN,1.0,S,1.0
33.95,126053,BCC,1.0,FN,1.0
34.04,1711459,S,1.0,LiNN,1.0
34.95,1133,BCC,1.0,,
34.99,2324,BCC,1.0,SH,1.0
35.05,1087830,BCC,1.0,FO,1.0
35.95,3245331,CCC,1.0,BCC,1.0
36.0,5727,BCC,1.0,LiNN,1.0
36.05,1097,LiNN,1.0,,
36.96,108137,CCC,1.0,CCC,1.0
37.0,7087,HCCC,1.0,,
37.04,793,FO,1.0,,
37.45,24137932,As,2.0,,
37.99,1903319,NCC,1.0,BNN,1.0
38.04,228,HCCC,1.0,HCCC,1.0
38.99,201534,BNN,1.0,NCC,1.0
39.03,21425,NCC,1.0,LiOO,1.0
39.98,1119352,CNN,1.0,OCC,1.0
40.05,82,NCC,1.0,,
40.96,972,OCC,1.0,,
41.02,20727,CNN,1.0,CNN,1.0
42.01,752387,NNN,1.0,LiCCC,1.0
42.96,3871,NNN,1.0,BOO,1.0
43.05,3213753,FCC,1.0,LiCCC,1.0
43.96,3743006,SC,1.0,ONN,1.0
44.95,66113,SC,1.0,W,4.0
45.03,30959,SC,1.0,FCC,1.0
45.47,6665692,W,4.0,,
45.75,3624321,W,4.0,,
46.0,15524542,W,4.0,Mo,2.0
46.54,5981379,W,4.0,,
46.97,3743591,Mo,2.0,SC,1.0
47.05,920261,FNN,1.0,BCCC,1.0
47.49,6396548,Mo,2.0,,
47.95,7585019,Mo,2.0,CCCC,1.0
48.55,3862075,Mo,2.0,,
49.05,9727612,Mo,2.0,CCCC,1.0
49.99,4267646,Mo,2.0,NCCC,1.0
50.99,10529,NCCC,1.0,NCCC,1.0
51.05,8601,NCCC,1.0,LiNNO,1.0
51.98,18113,OCCC,1.0,NCCC,1.0
52.03,57,NCCC,1.0,,
52.95,410,OCCC,1.0,OCCC,1.0
53.02,199,OCCC,1.0,,
53.95,18,OCCC,1.0,,
53.99,253,BNNO,1.0,,
54.96,696494,FCCC,1.0,,
54.99,35604503,Mn,1.0,BNNO,1.0
56.0,46239,MnH,1.0,FCCC,1.0
56.04,760067,SCC,1.0,FCCC,1.0
56.97,8572,SCC,1.0,FCCC,1.0
57.01,14634,SCC,1.0,SCC,1.0
57.05,102,FCCC,1.0,CNNO,1.0
58.0,5669,NNNO,1.0,SCC,1.0
58.05,33041,SCC,1.0,SCC,1.0
58.97,391,SCC,1.0,NNNO,1.0
59.03,408,SCC,1.0,NNNO,1.0
60.0,264353,SNN,1.0,W,3.0
60.71666793823242,10580452,W,3.0,,
60.97,1896,SNN,1.0,,
61.03,5754684,W,3.0,SNN,1.0
61.33333206176758,12350567,W,3.0,,
62.05,9504196,W,3.0,SNN,1.0
62.97,30,SNN,1.0,,
63.05,6673,FNNO,1.0,SNN,1.0
63.96,559,SOO,1.0,,
64.01,28,FNNO,1.0,,
64.05,35,FNNO,1.0,,
65.95,12,SOO,1.0,,
66.95,4293032,MnC,1.0,,
67.99,47734,MnC,1.0,,
68.05,172298,SCCC,1.0,,
68.96,2388303,MnN,1.0,SCCC,1.0
69.04,5290,SCCC,1.0,SCCC,1.0
70.0,9629,MnN,1.0,SCCC,1.0
70.05,7642,SCCC,1.0,SCCC,1.0
71.01,124858,MnO,1.0,SCCC,1.0
71.97,232,MnHO,1.0,,
73.02,243,MnO,1.0,,
73.97,724130,Se,1.0,,
75.0,14483181,As,1.0,SeH,1.0
75.96,16649,AsH,1.0,,
76.04,7243107,Se,1.0,SNNO,1.0
77.0,6119124,Se,1.0,SeH,1.0
78.0,18911541,Se,1.0,SeH,1.0
78.05,85,SNNO,1.0,,
79.02,1244862,MnCC,1.0,SeH,1.0
79.98,13730,MnCC,1.0,,
80.04,39921747,Se,1.0,MnCC,1.0
80.96,22953,SeH,1.0,,
81.02,141,MnCC,1.0,,
81.96,34,SeHH,1.0,,
82.01,7563226,Se,1.0,,
83.05,338246,MnNN,1.0,SeH,1.0
84.05,2678,MnNN,1.0,MnNN,1.0
86.01,57757,SeC,1.0,,
86.98,1770683,AsC,1.0,MnOO,1.0
87.95,19674,AsC,1.0,,
88.02,616409,SeC,1.0,SeN,1.0
89.03,1818388,AsN,1.0,SeC,1.0
90.01,1532581,SeC,1.0,W,2.0
90.05,389529,SeN,1.0,SeO,1.0
90.95,16769,SeC,1.0,,
90.99,390098,SeN,1.0,AsO,1.0
91.04,3815022,W,2.0,MnCCC,1.0
91.5,1955977,W,2.0,,
91.97,5217085,W,2.0,SeN,1.0
92.02,6893919,Mo,1.0,SeC,1.0
