mc,counts,ion,charge,ion2,charge2
1.0,6733222,H,1.0,,
2.0,22987,HH,1.0,,
3.0,5005207,Li,2.0,HHH,1.0
3.5,62630074,Li,2.0,,
6.0,13011120,Li,1.0,C,2.0
6.5,61628,C,2.0,,
7.0,98907101,Li,1.0,N,2.0
7.5,21804,N,2.0,,
8.0,104004699,O,2.0,,
9.0,208426,O,2.0,,
12.0,2992128,C,1.0,,
13.0,33279,C,1.0,,
14.0,10054407,N,1.0,,
15.0,40379,N,1.0,,
16.0,182464392,O,1.0,,
17.0,795977,HO,1.0,,
18.0,372059,O,1.0,HHO,1.0
19.0,1595,HO,1.0,,
24.0,21621,CC,1.0,,
25.0,480,CC,1.0,CC,1.0
26.0,34525,NC,1.0,,
27.0,522,NC,1.0,NC,1.0
27.5,33649290,Mn,2.0,,
28.0,55528,NN,1.0,,
29.0,446,NN,1.0,NN,1.0
29.5,33649290,Co,2.0,,
32.0,23445952,OO,1.0,,
33.0,137855,HOO,1.0,,
34.0,95700,OO,1.0,OO,1.0
35.0,552,HOO,1.0,HOO,1.0
36.0,242,CCC,1.0,OO,1.0
44.0,17929,NNO,1.0,,
45.0,144,NNO,1.0,NNO,1.0
46.0,35,NNO,1.0,,
48.0,4820339,OOO,1.0,,
50.0,28979,OOO,1.0,OOO,1.0
55.0,20526068,Mn,1.0,,
59.0,22208532,Co,1.0,,
71.0,3891420,MnO,1.0,,
73.0,7798,MnO,1.0,,
75.0,3977896,CoO,1.0,,
77.0,7971,CoO,1.0,,
87.0,1066735,MnOO,1.0,,
88.0,6322,MnOOH,1.0,,
89.0,4275,MnOO,1.0,MnOO,1.0
91.0,800051,CoOO,1.0,,
93.0,3206,CoOO,1.0,CoOO,1.0
103.0,188472,MnOOO,1.0,,
104.0,1841,MnOOOH,1.0,,
105.0,1133,MnOOO,1.0,MnOOO,1.0
106.0,1458135,Cd,1.0,,
107.0,239874,CoOOO,1.0,,
109.0,1442,CoOOO,1.0,CoOOO,1.0
110.0,14020536,Cd,1.0,,
111.0,14357029,Cd,1.0,,
112.0,27031594,Cd,1.0,,
113.0,13684044,Cd,1.0,,
114.0,32191152,Cd,1.0,,
116.0,8412322,Cd,1.0,,
119.0,68984,MnOOOO,1.0,,
120.0,626,MnOOOOH,1.0,,
121.0,552,MnOOOO,1.0,MnOOOO,1.0
127.0,224328588,I,1.0,,
